|2020/04/24 17:54:35.905| CEFClient |INFO | CEFClient.MainWindow..ctor | 0 | => Initializing the MainWindow() | 
|2020/04/24 17:54:38.043| CEFClient |INFO | CEFClient.MainWindow.onInitialized_MainWindow | 0 | => onInitialized_MainWindow | 
|2020/04/24 17:54:38.053| CEFClient |INFO | CEFClient.LoginWindow.PostInitialize | 0 | => Function call for initialising the Login window: LoginWindow() | 
|2020/04/24 17:54:38.115| CEFClient |INFO | CEFClient.MainWindow.onInitialized_MainWindow | 0 | => _loginWindow.ShowDialog() | 
|2020/04/24 17:54:38.392| CEFClient |INFO | CSCommon.Utils.ManageEntity.ReadEntityFile | 0 | => Reading the entity file using: ReadEntityFile() | 
|2020/04/24 17:54:38.399| CEFClient |INFO | CSCommon.Utils.ManageEntity.ReadEntityFile | 0 | => Reading from Entity filename:C:\Users\mmehsan\Documents\Computron\cscomm.ini | 
|2020/04/24 17:54:38.633| CEFClient |INFO | CEFClient.LoginWindow.reload | 0 | => Function call to relead the entities: reload() | 
|2020/04/24 17:54:38.633| CEFClient |INFO | CEFClient.LoginWindow.onSelect_CmbBoxEntity | 0 | => Event trigger:onSelect_CmbBoxEntity()  | 
|2020/04/24 17:54:50.195| CEFClient |INFO | CEFClient.LoginWindow+<onClick_SignIn>d__10.MoveNext | 0 | => Event for login click: onClick_SignIn() | 
|2020/04/24 17:54:50.510| CEFClient |INFO | CSCommon.IO.CSSocket.Login | 0 | => Begin Login(CSSocket sock) info | 
|2020/04/24 17:54:51.877| CEFClient |INFO | CEFClient.LoginWindow+<onClick_SignIn>d__10.MoveNext | 0 | => Event for login click: onClick_SignIn() | 
|2020/04/24 17:54:52.436| CEFClient |INFO | CSCommon.CSHubImpl+<receiveData>d__18.MoveNext | 0 | => CsComm buffer. Datalength is 1500 | 
|2020/04/24 17:54:54.607| CEFClient |INFO | CEFClient.MainWindow.setupModuleMenu | 0 | => setupModuleMenu() | 
